dimension,level,n_treat,n_control,n_total,ATE,SE,CI_lower,CI_upper,p_value
industry,Education,7662,7510,15172,0.020002109484037106,0.018172121696146678,-0.015615249040410381,0.05561946800848459,0.27102592801912073
industry,Manufacturing,8588,8913,17501,-0.016476552558375625,0.01739734676915783,-0.05057535222592496,0.017622247109173716,0.3436017263786064
industry,Finance,11938,8228,20166,0.003923509532045504,0.01599261982431949,-0.027422025323620695,0.0352690443877117,0.8061989840942361
industry,Healthcare,9048,9594,18642,0.0038486517069971794,0.016161947246939028,-0.027828764897003318,0.03552606831099767,0.8117799224511311
industry,Agriculture,7858,7712,15570,-0.0013474205169588273,0.018350060229775925,-0.037313538567319636,0.034618697533401986,0.9414650041330892
industry,Technology,14717,6390,21107,0.013050007133955445,0.017829668764179876,-0.02189614364383711,0.047996157911748,0.4642134303674412
industry,Logistics,6519,6442,12961,0.0065878261557396735,0.01987360014258057,-0.032364430123718244,0.045540082435197596,0.7402771897537277
industry,Retail,8059,8318,16377,0.026999742263557815,0.018546927821164117,-0.009352236265923852,0.06335172079303948,0.1454609678591392
industry,Consulting,6096,6408,12504,-0.02716705672668351,0.02060843934440315,-0.06755959784171368,0.013225484388346666,0.18742027425697727
company_size,Enterprise,20843,8605,29448,0.023916189268875815,0.015197716405069258,-0.0058713348850599305,0.053703713422811564,0.11556378012217072
company_size,Startup,28115,28570,56685,-0.007001307407294013,0.011011219089386327,-0.028583296822491215,0.01458068200790319,0.5248846321566791
company_size,SME,31527,32340,63867,0.010577867544153812,0.00852887589176117,-0.00613872920369808,0.027294464292005702,0.21488601384773287
survey_year,2023,17003,20453,37456,0.003779595122552352,0.012996929548975257,-0.02169438679343915,0.02925357703854385,0.7711991078097022
survey_year,2024,19200,18280,37480,-0.0021605625834114515,0.012876265716032467,-0.02739804338683509,0.023076918220012184,0.8667451939797177
survey_year,2025,21175,16349,37524,0.003834324138301613,0.012964607993918329,-0.02157630752977831,0.029244955806381537,0.7674185771596302
survey_year,2026,23107,14433,37540,0.016252832423267985,0.013236927117357694,-0.009691544726753095,0.04219720957328907,0.2195069314678273
automation_rate,high,58885,16119,75004,-0.00022061254599542974,0.009510283443663928,-0.01886076809557673,0.018419543003585868,0.9814929220465769
automation_rate,low,21600,53396,74996,0.008498654195165033,0.008701758135868987,-0.008556791751138179,0.025554100141468243,0.3287377889257892
